leader,leadid,country,scode,ccode,econ_style_first,econ_style_last,econ_style_alias
Ogi,A2.9-3994,Switzerland,SWZ,225,adolf,ogi,
Leuenberger,A2.9-3997,Switzerland,SWZ,225,moritz,leuenberger,
Villiger,A2.9-4000,Switzerland,SWZ,225,kaspar,villiger,
Pascal Couchepin,A2.9-4003,Switzerland,SWZ,225,pascal,couchepin,
Joseph Deiss,A2.9-4006,Switzerland,SWZ,225,joseph,deiss,
Schmid,A3.0-50,Switzerland,SWZ,225,samuel,schmid,
Leuenberger,A3.0-51,Switzerland,SWZ,225,moritz,leuenberger,
Calmy-Rey,A3.0-52,Switzerland,SWZ,225,micheline,calmy-rey,
Pascal Couchepin,A3.0-53,Switzerland,SWZ,225,pascal,couchepin,
Hans-Rudolf Merz,A3.0-54,Switzerland,SWZ,225,hans-rudolf,merz,
Doris Leuthard,A3.0-55,Switzerland,SWZ,225,doris,leuthard,
Calmy-Rey,A3.0-56,Switzerland,SWZ,225,micheline,calmy-rey,
Widmer-Schlumpf,cb-225-1,Switzerland,SWZ,225,eveline,widmer-schlumpf,
Maurer,cb-225-2,Switzerland,SWZ,225,ueli,maurer,
Burkhalter,cb-225-3,Switzerland,SWZ,225,didier,burkhalter,
Sommaruga,cb-225-4,Switzerland,SWZ,225,simonetta,sommaruga,
Schneider-Ammann,cb-225-5,Switzerland,SWZ,225,johann,schneider-ammann,
Doris Leuthard,se-225-1,Switzerland,SWZ,225,doris,leuthard,
Alain Berset,cb-225-6,Switzerland,SWZ,225,alain,berset,
Gonzalez Marquez,A2.9-4228,Spain,SPN,230,felipe,gonzalez,
Aznar,A2.9-4231,Spain,SPN,230,jose maria,aznar,
Rodriguez Zapatero,A2.9-4234,Spain,SPN,230,jose luis rodriguez,zapatero,
Rajoy Brey,A3.0-57,Spain,SPN,230,mariano,rajoy,
Sanchez,ctb-230-1,Spain,SPN,230,pedro,sanchez,
Soares,A2.9-4291,Portugal,POR,235,mario,soares,
Sampaio,A2.9-4294,Portugal,POR,235,jorge,sampaio,
Cavaco Silva,A3.0-58,Portugal,POR,235,anibal,cavaco silva,
de Sousa,kb-235-1,Portugal,POR,235,marcelo,rebelo de sousa,
Kohl,A2.9-4375,Germany,GMY,255,helmut,kohl,
Schroder,A2.9-4378,Germany,GMY,255,gerhard,schroder,
Merkel,A3.0-59,Germany,GMY,255,angela,merkel,
Walesa,A2.9-4432,Poland,POL,290,lech,walesa,
Kwasniewski,A2.9-4435,Poland,POL,290,alexander,kwasniewski,aleksander kwasniewski
Kaczynski,A3.0-60,Poland,POL,290,lech,kaczynski,
Komorowski,A3.0-61,Poland,POL,290,bronislaw,komorowski,
Schetyna,A3.0-63,Poland,POL,290,grzegorz,schetyna,
Komorowski,A3.0-64,Poland,POL,290,bronislaw,komorowski,
Duda,cb-290-1,Poland,POL,290,adrezej,duda,
Vranitzky,A2.9-4507,Austria,AUS,305,franz,vranitzky,
Klima,A2.9-4510,Austria,AUS,305,viktor,klima,
Schussel,A2.9-4513,Austria,AUS,305,wolfgang,schussel,
Gusenbauer,A3.0-65,Austria,AUS,305,alfred,gusenbauer,
Faymann,A3.0-66,Austria,AUS,305,werner,faymann,
Mitterlehner,cb-305-1,Austria,AUS,305,reinhold,mitterlehner,
Kern,se-305-2,Austria,AUS,305,christian,kern,
Kurz,se-305-3,Austria,AUS,305,sebastian,kurz,
Antall,A2.9-4552,Hungary,HUN,310,jozsef,antall,
Boross,A2.9-4555,Hungary,HUN,310,peter,boross,
Horn,A2.9-4558,Hungary,HUN,310,gyula,horn,
Orban,A2.9-4561,Hungary,HUN,310,viktor,orban,
Peter Medgyessy,A2.9-4564,Hungary,HUN,310,peter,medgyessy,
Ferenc Gyurcsany,A2.9-4567,Hungary,HUN,310,ferenc,gyurcsany,
Bajnai,A3.0-67,Hungary,HUN,310,gordon,bajnai,
Orban,A3.0-68,Hungary,HUN,310,viktor,orban,
Klaus,A2.9-4609,Czech Republic,CZR,316,vaclav,klaus,
Tosovsky,A2.9-4612,Czech Republic,CZR,316,josef,tosovsky,
Zeman,A2.9-4615,Czech Republic,CZR,316,milos,zeman,
Spidla,A2.9-4618,Czech Republic,CZR,316,vladimir,spidla,
Stanislav Gross,A2.9-4621,Czech Republic,CZR,316,stanislav,gross,
Paroubek,A3.0-69,Czech Republic,CZR,316,jiri,paroubek,
Topolanek,A3.0-70,Czech Republic,CZR,316,mirek,topolanek,
Fischer,A3.0-71,Czech Republic,CZR,316,jan,fischer,
Necas,A3.0-72,Czech Republic,CZR,316,petr,necas,
Rusnok,cb-316-1,Czech Republic,CZR,316,jiri,rusnok,
Sobotka,cb-316-2,Czech Republic,CZR,316,bohuslav,sobotka,
Andrej Babis,se-316-3,Czech Republic,CZR,316,andrej,babis,
Meciar,A2.9-4624,Slovak Republic,SLO,317,vladimir,meciar,
Moravcik,A2.9-4627,Slovak Republic,SLO,317,jozef,moravcik,
Meciar,A2.9-4630,Slovak Republic,SLO,317,vladimir,meciar,
Dzurinda,A2.9-4633,Slovak Republic,SLO,317,mikulas,dzurinda,
Fico,A3.0-73,Slovak Republic,SLO,317,robert,fico,
Radicova,A3.0-74,Slovak Republic,SLO,317,iveta,radicova,
Fico,cb-317-1,Slovak Republic,SLO,317,robert,fico,
Pellegrini,ctb-317-1,Slovak Republic,SLO,317,peter,pellegrini,
Andreotti,A2.9-4813,Italy,ITA,325,giulio,andreotti,
Amato,A2.9-4816,Italy,ITA,325,giuliano,amato,
Ciampi,A2.9-4819,Italy,ITA,325,carlo azeglio,ciampi,
Berlusconi,A2.9-4822,Italy,ITA,325,silvio,berlusconi,
Dini,A2.9-4825,Italy,ITA,325,lamberto,dini,
Prodi,A2.9-4828,Italy,ITA,325,romano,prodi,
D'Alema,A2.9-4831,Italy,ITA,325,massimo,d'alema,
Amato,A2.9-4834,Italy,ITA,325,giuliano,amato,
Berlusconi,A2.9-4837,Italy,ITA,325,silvio,berlusconi,
Prodi,A3.0-75,Italy,ITA,325,romano,prodi,
Berlusconi,A3.0-76,Italy,ITA,325,silvio,berlusconi,
Monti,A3.0-77,Italy,ITA,325,mario,monti,
Letta,cb-325-1,Italy,ITA,325,enrico,letta,
Renzi,cb-325-2,Italy,ITA,325,matteo,renzi,
Gentiloni,se-325-1,Italy,ITA,325,paolo,gentiloni,
Conte,ctb-325-1,Italy,ITA,325,giuseppe,conte,
Meta,A2.9-4924,Albania,ALB,339,ilir,meta,
Majko,A2.9-4927,Albania,ALB,339,pandeli,majko,
Fatos Nano,A2.9-4930,Albania,ALB,339,fatos,nano,
Berisha,A3.0-79,Albania,ALB,339,sali,berisha,
Rama,cb-339-1,Albania,ALB,339,edi,rama,
Agim Ceku,joshua-add-5,Kosovo,KOS,341,agim,ceku,
Hashim Thaci,joshua-add-6,Kosovo,KOS,341,hashim,taci,
Isa Mustafa,joshua-add-7,Kosovo,KOS,341,isa,mustafa,
Ramush Haradinaj,joshua-add-8,Kosovo,KOS,341,ramush,haradinaj,
Albin Kurti,joshua-add-9,Kosovo,KOS,341,albin,kurti,
Vojislav Kostunica,joshua-add-10,Serbia,SER,342,vojislav,kostunica,
Mirko Cvetokovic,joshua-add-11,Serbia,SER,342,mriko,cvetkovic,
Ivica Dacic,joshua-add-12,Serbia,SER,342,ivica,dacic,
Aleksandar Vucic,joshua-add-13,Serbia,SER,342,aleksandar,vucic,
Ivica Dacic,joshua-add-14,Serbia,SER,342,ivica,dacic,
Ana Brnabic,joshua-add-15,Serbia,SER,342,ana,brnabic,
Georgievski,A2.9-4957,Macedonia,MAC,343,ljubcho,georgievski,ljubco georgievski
Crvenkovski,A2.9-4960,Macedonia,MAC,343,branko,crvenkovski,
Radmila Sekerinska,A2.9-4963,Macedonia,MAC,343,radmila,sekerinska,
Hari Kostov,A2.9-4966,Macedonia,MAC,343,hari,kostov,
Radmila Sekerinska,A2.9-4969,Macedonia,MAC,343,radmila,sekerinska,
Vlado Buckovski,A2.9-4972,Macedonia,MAC,343,vlado,buckovski,
Gruevski,A3.0-80,Macedonia,MAC,343,nikola,gurevski,
Dimitriev,cb-343-1,Macedonia,MAC,343,emil,dimitriev,
Zaev,se-343-1,Macedonia,MAC,343,zoran,zaev,
Pavletic,A2.9-4978,Croatia,CRO,344,vlatko,pavletic,
Tomcic,A2.9-4981,Croatia,CRO,344,zlatko,tomcic,
Mesic,A2.9-4984,Croatia,CRO,344,stipe,mesic,
Racan,A3.0-81,Croatia,CRO,344,ivica,racan,
Sanader,cb-344-1,Croatia,CRO,344,ivo,sanader,
Kosor,cb-344-2,Croatia,CRO,344,jardranka,kosor,
Milanovic,cb-344-3,Croatia,CRO,344,zoran,milanovic,
Oreskovic,cb-344-4,Croatia,CRO,344,tihomir,oreskovic,
Plenkovic,se-344-5,Croatia,CRO,344,andrej,plenkovic,
Sturanovic,cb-mng-2,Montenegro,MNT,348,zeljko,sturanovic,
Dukanovic,cb-mng-3,Montenegro,MNT,348,milo,djukanovic,
Luksic,cb-mng-4,Montenegro,MNT,348,igor,luksic,
Dukanovic,cb-mng-5,Montenegro,MNT,348,milo,djukanovic,
Dusko Markovic,cb-mng-6,Montenegro,MNT,348,dusko,markovic,
Peterle,A2.9-5074,Slovenia,SLV,349,alojz,peterle,ljze peterle
Drnovsek,A2.9-5077,Slovenia,SLV,349,janez,drnovsek,
Bajuk,A2.9-5080,Slovenia,SLV,349,andrej,bajuk,
Drnovsek,A2.9-5083,Slovenia,SLV,349,janez,drnovsek,
Anton Rop,A2.9-5086,Slovenia,SLV,349,anton,rop,
Janez Jansa,A2.9-5089,Slovenia,SLV,349,janez,jansa,
Borut Pahor,A3.0-93,Slovenia,SLV,349,borut,pahor,
Janez Jansa,cb-349-1,Slovenia,SLV,349,janez,jansa,
Alenka Bratusek,cb-349-2,Slovenia,SLV,349,alenka,bratusek,
Miro Cerar,cb-349-3,Slovenia,SLV,349,miro,cerar,
Sarec,ctb-349-4,Slovenia,SLV,349,marjan,sarec,
Mitsotakis,A2.9-5305,Greece,GRC,350,constantine,mitsotakis,
A. Papandreou,A2.9-5308,Greece,GRC,350,andreas,papandreou,
Tsokhatzopulos,A2.9-5311,Greece,GRC,350,akis,tsochatzopoulos,
Simitis,A2.9-5314,Greece,GRC,350,costas,simitis,konstantinos simitis
Kostas Karamanlis,A2.9-5317,Greece,GRC,350,costas,karamanlis,
Georgios Papandreou,A3.0-94,Greece,GRC,350,george w.,papandreou,
Loukas Papadimos,A3.0-95,Greece,GRC,350,lucas,papademos,
Pikrammenos,cb-350-1,Greece,GRC,350,panagiotis,pikammenos,
Samaras,cb-350-2,Greece,GRC,350,antonis,samaras,
Tsipras,cb-350-3,Greece,GRC,350,alexis,tsipras,
Thanou,cb-350-4,Greece,GRC,350,vassiliki,thanou,
Tsipras,cb-350-5,Greece,GRC,350,alexis,tsipras,
Vassiliou,A2.9-5335,Cyprus,CYP,352,george,vassiliou,
Clerides,A2.9-5338,Cyprus,CYP,352,glafkos,clerides,
Tassos Nikolaou Papadopoulos,A2.9-5341,Cyprus,CYP,352,tassos,papadopoulos ,
Dimitris Christofias,A3.0-96,Cyprus,CYP,352,demetris,christofias,
Nikos Anastasiadis,cb-352-1,Cyprus,CYP,352,nicos,anastasiades,
Dimitrov,A2.9-5377,Bulgaria,BUL,355,philip,dimitrov,
Berov,A2.9-5380,Bulgaria,BUL,355,lyuben,berov,
Indzhova,A2.9-5383,Bulgaria,BUL,355,reneta,indzhova,
Videnov,A2.9-5386,Bulgaria,BUL,355,zhan,videnov,
Sofiyanski,A2.9-5389,Bulgaria,BUL,355,stefan,sofiyanski,
Kostov,A2.9-5392,Bulgaria,BUL,355,ivan,kostov,
Saksgoburggotski,A2.9-5395,Bulgaria,BUL,355,simeon,saxe-coburg-gotha,
Stanishev,A3.0-97,Bulgaria,BUL,355,sergei,stanishev,
Boyko Borisov,A3.0-98,Bulgaria,BUL,355,boyko,borisov,
Marin Raikov,cb-355-1,Bulgaria,BUL,355,marin,raykov,
Plamen Oresharski,cb-355-2,Bulgaria,BUL,355,plamen,oresharski,
Georgi Bliznashki,cb-355-3,Bulgaria,BUL,355,georgi,bliznashki,
Boiko Borisov,cb-355-4,Bulgaria,BUL,355,boyko,borisov,
Ognyan Gerdzhikov,se-355-5,Bulgaria,BUL,355,ognyan,gerdzhikov,
Boiko Borisov,se-355-6,Bulgaria,BUL,355,boyko,borisov,
Snegur,A2.9-5398,Moldova,MLD,359,mircea,snegur,
Lucinschi,A2.9-5401,Moldova,MLD,359,petru,lucinschi,
Tarlev,A2.9-5404,Moldova,MLD,359,vasile,tarlev,
Greceanii,A3.0-99,Moldova,MLD,359,zinaida,greceanii,
Pirlog,A3.0-100,Moldova,MLD,359,vitalie,pirlog,
Vlad Filat,A3.0-101,Moldova,MLD,359,vlad,filat,
Iurie Leanca,cb-359-1,Moldova,MLD,359,iurie,leanca,
Chiril Gaburici,cb-359-2,Moldova,MLD,359,chiril,gaburici,
Natalia Gherman,cb-359-3,Moldova,MLD,359,natalia,gherman,
